cod,nome
"728,""Cidade Universitaria"""
"116,""Soledade"""
"710,""Engenho do Meio"""
"841,""Caçote"""
"884,""Cohab"""
"736,""Várzea"""
"701,""Torrões"""
"698,""Iputinga"""
"752,""Curado"""
"817,""San Martin"""
"213,""Ipsep"""
"400,""Passarinho"""
"590,""Dois Irmãos"""
"159,""Jaqueira"""
"868,""Jardim São Paulo"""
"850,""Areias"""
"906,""Sancho"""
"876,""Barro"""
"833,""Estância"""
"450,""Santana"""
"892,""Tejipió"""
"671,""Zumbi"""
"680,""Cordeiro"""
"922,""Coqueiral"""
"914,""Totó"""
"744,""Caxangá"""
"604,""Sítio dos Pintos"""
"639,""Pau-Ferro"""
"140,""Derby"""
"345,""Fundão"""
"183,""Rosarinho"""
"310,""Campina do Barreto"""
"361,""Porto da Madeira"""
"353,""Cajueiro"""
"370,""Beberibe"""
"426,""Bomba do Hemetério"""
"515,""Mangabeira"""
"396,""Dois Unidos"""
"388,""Linha do Tiro"""
"272,""Torreão"""
"191,""Tamarineira"""
"795,""Mangueira"""
"78,""Ilha do Leite"""
"221,""Jordão"""
"108,""Santo Amaro"""
"477,""Poço"""
"442,""Casa Forte"""
"469,""Parnamirim"""
"299,""Peixinhos"""
"329,""Arruda"""
"86,""Boa Vista"""
"663,""Prado"""
"51,""Cabanga"""
"248,""Pina"""
"612,""Brejo da Guabiraba"""
"760,""Ilha do Retiro"""
"94,""Paissandu"""
"43,""Joana Bezerra"""
"230,""Ibura"""
"540,""Alto José Bonifácio"""
"493,""Alto do Mandu"""
"531,""Morro da Conceição"""
"434,""Casa Amarela"""
"930,""Ponto de Parada"""
"175,""Encruzilhada"""
"124,""Espinheiro"""
"132,""Aflitos"""
"27,""Santo Antônio"""
"19,""Bairro do Recife"""
"256,""Brasília Teimosa"""
"558,""Vasco da Gama"""
"809,""Bongi"""
"205,""Boa Viagem"""
"787,""Mustardinha"""
"35,""São José"""
"523,""Alto José do Pinho"""
"949,""Santa Terezinha"""
"582,""Macaxeira"""
"574,""Brejo de Beberibe"""
"566,""Nova Descoberta"""
"485,""Monteiro"""
"280,""Campo Grande"""
"655,""Torre"""
"647,""Madalena"""
"337,""Água Fria"""
"60,""Coelhos"""
"302,""Hipódromo"""
"167,""Graças"""
"264,""Imbiribeira"""
"825,""Jiquiá"""
"779,""Afogados"""
"507,""Apipucos"""
"418,""Guabiraba"""
"620,""Córrego do Jenipapo"""
