name,lat,lng
San Martin,-8.07018436412122,-34.927995857938996
Passarinho,-7.983373934476952,-34.92225861973423
Ponto de Parada,-8.029551709126782,-34.89317520997183
Mustardinha,-8.071221183623624,-34.918573224439534
Bongi,-8.066237830455378,-34.918360362689015
Bomba do Hemetério,-8.020822737531828,-34.90214962379403
Campo Grande,-8.031149236678536,-34.88012558671925
Torrões,-8.06052699441238,-34.936581833574884
Guabiraba,-7.967503219037753,-34.93954207139161
Ibura,-8.122204489579264,-34.93122072188398
Alto do Mandu,-8.022274616459132,-34.927581098332105
Dois Irmãos,-8.011330544882487,-34.94379023902252
Alto José Bonifácio,-8.013315443366714,-34.91292036283069
Aflitos,-8.040514062657005,-34.89644353820887
Jardim São Paulo,-8.083101810086726,-34.9449970986444
Santo Amaro,-8.046984976708062,-34.87981261516913
Prado,-8.059842310810028,-34.91600461898343
Fundão,-8.014794310937122,-34.89038858594973
Apipucos,-8.01812939039717,-34.938040703129786
Jaqueira,-8.036530220959792,-34.9041219026261
Mangabeira,-8.02436467957184,-34.90300337291103
Casa Amarela,-8.026000452984658,-34.91721523178912
Rosarinho,-8.032867297522342,-34.8972746383121
Boa Vista,-8.059005983753355,-34.88901480271679
Vasco da Gama,-8.013554081657535,-34.91969266537834
Tamarineira,-8.03113010296412,-34.90306380561359
Hipódromo,-8.032532084900769,-34.887721966532624
Afogados,-8.076732849357585,-34.91061408843108
Morro da Conceição,-8.019687371139836,-34.91418100237772
Totó,-8.082053107834241,-34.96856203698824
Encruzilhada,-8.036111818108415,-34.89099835680275
Caçote,-8.100248120245537,-34.931237853581244
Córrego do Jenipapo,-8.00344079904923,-34.93649379386613
Ilha do Retiro,-8.064108022003445,-34.90589800524529
Santa Terezinha,-8.015742196184817,-34.9080582346481
Brejo de Beberibe,-7.997389674272294,-34.92409835083212
Dois Unidos,-7.998373603539178,-34.911993492469996
Coelhos,-8.067116677538225,-34.89013029182246
Mangueira,-8.076766700742485,-34.920586168310216
Torreão,-8.040174913469112,-34.883958661753056
Sancho,-8.08491468168848,-34.96209626558294
Madalena,-8.054416290685984,-34.907965448573954
Estância,-8.08489208385835,-34.93034368117468
Brasília Teimosa,-8.084267297079112,-34.880041070063506
Porto da Madeira,-8.007523176169778,-34.890584706790015
Derby,-8.05514109411469,-34.89921902511986
Santana,-8.038973620711047,-34.914124603805895
Cohab,-8.122426111594903,-34.95272307884038
Sítio dos Pintos,-8.015320546003876,-34.95636697130448
Cidade Universitária,-8.050740728717562,-34.94970442653921
Torre,-8.043390600260018,-34.910231572664365
Beberibe,-8.005181843074674,-34.89669532417945
Parnamirim,-8.034844840832134,-34.9110250094632
Ipsep,-8.110023915853203,-34.92143850244234
Joana Bezerra,-8.072071490079912,-34.89751932681775
São José,-8.070823125700146,-34.88462289945286
Bairro do Recife,-8.060233051221239,-34.872368412645876
Macaxeira,-8.011126360034991,-34.93001137354546
Jiquiá,-8.084962904988705,-34.92473689760316
Engenho do Meio,-8.056703773322857,-34.942937553920395
Soledade,-8.056644063458833,-34.890273237220775
Zumbi,-8.053244513957619,-34.91754145850123
Poço,-8.035114866561655,-34.92268817186346
Linha do Tiro,-8.008948595604336,-34.904795608862166
Coqueiral,-8.087514040107248,-34.968251886599575
Jordão,-8.13529185520682,-34.93712531504942
Cajueiro,-8.011685897351114,-34.88509846949072
Espinheiro,-8.044215174483687,-34.892455221084596
Ilha do Leite,-8.065315464011096,-34.89456754667026
Arruda,-8.02449482446416,-34.88989756835732
Várzea,-8.042113883687579,-34.9617146321061
Casa Forte,-8.034033321836107,-34.91831155935946
Cordeiro,-8.051021921152879,-34.92680102550699
Caxangá,-8.02757010591759,-34.95459160798585
Iputinga,-8.037082852911139,-34.93657837162807
Brejo da Guabiraba,-7.992467333663978,-34.93329528946086
Nova Descoberta,-8.005959735796518,-34.927143571858835
Peixinhos,-8.019987770191433,-34.877893123654516
Monteiro,-8.02656076913812,-34.928489843315006
Campina do Barreto,-8.017824192100607,-34.881877196248844
Pina,-8.089738857352865,-34.88939974313756
Alto José do Pinho,-8.02197111913504,-34.90833081480079
Santo Antônio,-8.064568272825154,-34.879102233879685
Imbiribeira,-8.108060515908077,-34.911375315891156
Graças,-8.046294545835512,-34.89920753614791
Areias,-8.095070024842322,-34.931436795261625
Curado,-8.074294192326567,-34.95408559495724
Água Fria,-8.01674699623902,-34.89607448433436
Paissandu,-8.063561879782696,-34.89830685241038
Tejipió,-8.090547135528476,-34.95910879111629
Boa Viagem,-8.123899569756349,-34.90189856335547
Barro,-8.098808467617335,-34.9488228526966
Cabanga,-8.078975554636623,-34.89440847017388
Abreu e Lima,-7.900719,-34.898389
Araçoiaba,-7.788320, -35.092499
Cabo de Santo Agostinho,-8.284990, -35.033699
Camaragibe,-8.023890, -34.977013
Ilha de Itamaracá,-7.758365, -34.849732
Itapissuma,-7.773425, -34.898619
Jaboatão dos Guararapes,-8.142463, -34.989021
Moreno,-8.107618, -35.103382
Olinda,-7.991255, -34.842328
Paulista,-7.991255, -34.842328
São Lourenço da Mata,-8.005549, -35.021037
Pau-Ferro,-7.967734, -34.973523
